ZCTA,Corresponding Counties,Total Estimated Population,2010 Child Population Estimate (Under 18),2011 Child Population Estimate (Under 18),2012 Child Population Estimate (Under 18),2013 Child Population Estimate (Under 18),2014 Child Population Estimate (Under 18),2010 - 2014 Aggregated Child Population Estimate (under 18),2010 Child Population Estimate (5 and Under),2011 Child Population Estimate (5 and Under),2012 Child Population Estimate (5 and Under),2013 Child Population Estimate (5 and Under),2014 Child Population Estimate (5 and Under)-Please calculate a mean estimate for 2014,2010 - 2014 Aggregated Child Population Estimate (5 and Under)-Estimate the pop mean average for 2010-2014,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Estimated Households,"Estimated Family Households with Female Householder,No Husband Present, Children < 18",Total Estimated Child Population Under 18,Total Children in Poverty Under 18,Rate of Child Poverty Under 18,Total Poverty for Children under 3,poverty children 4 and 5,Poverty 5 years,Total Estimated Children 5 and Under,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Children 5 and under in poverty,Rate of Child Poverty 5 and Under,Column172,Birth and Married,No Birth and Married,Birth and Unmarried,No Birth and Unmarried,Number of Teen Births (15-19yrs),Total Female Population (15-19yrs),Weighted Teen Birth (999 as no data),Rate of Teen Birth(15-19yrs),Column1,Zipcode,Unique Clients Admitted for Substance Abuse Treatment (*=supressed),Number of state funded substance abuse service types utilized within a zip code,Drug- Related Offenses,Family Violence Offenses (2014),Rate of Substane Abuse Treatments,Child Abuse and Neglect Related Fatalities (2010-2014),5yr. Aggregated Child Population Estimate (2010 - 2014),Rate of Child Abuse and Neglect Related Fatalities (Under 18),Total Substantiated Child Abuse Cases (Under age 18),5yr. Aggregated Child Population Estimate (under 18) 2010 - 2014,Rate of Substantiated Child Abuse Cases (Under age 18),Total Substantiated Child Abuse Cases (5 and Under),Rate of Substantiated Child Abuse Cases (5 and Under),Poverty Ranking for Children < 18,Poverty Ranking for Children < 5,Teen Birth Ranking (15-19yrs),Substance Abuse Ranking,Child Abuse and Neglect Related Fatalities Ranking,Substantiated Child Abuse Ranking < 18,Substantiated Child Abuse Ranking < 6,Mean of Rankings (all),Final Risk Ranking,geometry
76389,Archer County;Clay County;Jack County,1332,391,341,317,321,351,344,88,84,88,56,83,80,989,978,0,0,0,0,0,11,343,129,0,0,0,0,195,19,458,13,317,28,8.80%,50,25,13,88,8,0,0,0,0,0,5,4,7,4,0,0,17,19.00%,ZCTA5 76389,0,0,6,43,6,49,0.12244898,12.20%,ZCTA5 76389,76389,0,0,,,0,0,344,0,2,344,0.005810579,0,0,430,752,1460,226.5,651.5,171,103.5,542.0714286,319,
76401,Erath County,26435,5413,5609,5408,5703,5570,5541,1591,1816,1818,1986,1843,1811,21539,20612,395,10,251,0,0,271,4896,2780,0,6,0,0,1935,175,10076,599,5448,1557,28.60%,663,839,316,1818,316,34,256,80,48,32,301,49,228,147,22,44,700,39.00%,ZCTA5 76401,0,28,16,1069,16,1113,0.014375562,1.40%,ZCTA5 76401,76401,39,9,,,0.346153846,1,5541,0.000180486,443,5541,0.079955343,205,0.113206201,1248,1333,920,1488,1512,1580,1511,1370.285714,1781,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.951312,32.246169,0.0 -98.204802,32.064712,0.0 -98.537473,32.268164,0.0 -98.475338,32.388036,0.0 -97.951312,32.246169,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76402,Erath County,947,0,0,0,0,0,0,0,0,0,0,0,0,841,752,51,22,16,0,0,0,106,73,0,0,0,0,28,5,0,0,13,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZCTA5 76402,0,0,0,375,0,375,0,0.00%,ZCTA5 76402,76402,0,0,,,0,0,0,,0,0,,0,,83,0,425.5,226.5,651.5,72.5,103.5,260.4166667,120,
76424,Stephens County;Young County,8961,2185,2225,2158,2173,2192,2187,604,739,705,758,719,705,6920,6586,271,5,36,0,0,22,2041,1190,0,0,0,0,786,65,3191,288,2158,474,22.00%,369,228,108,705,109,0,134,10,0,17,51,24,79,14,23,13,184,26.00%,ZCTA5 76424,0,0,18,245,18,263,0.068441065,6.80%,ZCTA5 76424,76424,*,7,,,0.269230769,0,2187,0,157,2187,0.071798163,79,0.112067882,988,965,1281,627,651.5,1484,1509,1072.214286,1338,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.711782,32.660222,0.0 -98.788214,32.515056,0.0 -98.93283,32.515056,0.0 -99.096141,32.514506,0.0 -99.095591,32.760298,0.0 -99.096141,32.957151,0.0 -98.950975,32.957151,0.0 -98.575964,32.885118,0.0 -98.575964,32.87797,0.0 -98.575964,32.785592,0.0 -98.695286,32.788891,0.0 -98.711782,32.660222,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76426,Jack County;Wise County,10901,2948,3003,2740,2575,2866,2826,828,838,708,690,785,770,7437,6998,237,45,41,6,3,107,3464,2876,16,0,0,0,532,40,3617,94,2753,638,23.20%,376,260,72,708,64,0,66,66,22,19,51,26,180,46,17,81,141,20.00%,ZCTA5 76426,12,7,38,354,50,411,0.121654501,12.20%,ZCTA5 76426,76426,10,5,,,0.192307692,0,2826,0,111,2826,0.039273372,58,0.075335338,1040,774,1458,1259,651.5,826,1230,1034.071429,1245,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.822092,33.059977,0.0 -97.921069,33.057228,0.0 -97.919419,33.1727,0.0 -97.918869,33.237035,0.0 -97.693423,33.244184,0.0 -97.674177,33.183698,0.0 -97.801197,33.182048,0.0 -97.810545,33.071524,0.0 -97.822092,33.059977,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76427,Jack County,1225,215,350,365,418,359,341,46,141,110,103,110,102,1106,1104,2,0,0,0,0,0,119,71,0,0,0,0,40,8,398,35,365,93,25.50%,73,27,10,110,46,0,0,4,12,0,15,0,0,0,6,10,61,55.00%,ZCTA5 76427,0,0,0,86,0,86,0,0.00%,ZCTA5 76427,76427,*,2,,,0.076923077,0,341,0,17,341,0.049806589,10,0.098058135,1133,1617,425.5,1264,651.5,988,1334,1059,1311.5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.236694,33.063826,0.0 -98.246042,33.00554,0.0 -98.426399,33.007739,0.0 -98.42255,33.221639,0.0 -98.373612,33.295871,0.0 -98.236694,33.063826,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76429,Palo Pinto County;Stephens County,131,54,0,32,20,32,28,15,0,0,0,6,4,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,32,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZCTA5 76429,0,0,0,0,0,0,0,0,ZCTA5 76429,76429,0,0,,,0,0,28,0,0,28,0,0,0,83,0,0,226.5,651.5,72.5,103.5,227.4,99.5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.575964,32.650874,0.0 -98.711782,32.660222,0.0 -98.695286,32.788891,0.0 -98.575964,32.785592,0.0 -98.575964,32.650874,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76430,Shackelford County;Throckmorton County,2721,656,695,691,710,694,689,177,213,196,221,207,203,2378,2293,47,12,0,0,0,26,343,168,0,1,0,0,174,0,1138,73,696,67,9.60%,81,78,37,196,20,0,0,0,0,0,18,0,11,7,0,11,38,19.00%,ZCTA5 76430,0,0,0,79,0,79,0,0.00%,ZCTA5 76430,76430,*,1,,,0.038461538,0,689,0,36,689,0.052238843,3,0.01479831,464,754,425.5,917,651.5,1102.5,311,660.7857143,498,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.340833,32.515056,0.0 -99.39692,32.515056,0.0 -99.560781,32.514506,0.0 -99.611919,32.676168,0.0 -99.559681,32.957151,0.0 -99.471152,32.957151,0.0 -99.190719,32.956602,0.0 -99.096141,32.957151,0.0 -99.095591,32.760298,0.0 -99.340833,32.515056,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76431,Jack County;Wise County,3525,823,807,898,757,836,824,211,316,314,282,293,283,3042,3003,0,23,4,0,0,12,483,474,0,0,0,0,0,9,1181,70,898,208,23.20%,183,62,69,314,29,9,0,18,0,0,79,0,56,3,14,0,117,37.00%,ZCTA5 76431,21,0,0,135,21,156,0.134615385,13.50%,ZCTA5 76431,76431,*,4,,,0.153846154,0,824,0,58,824,0.070373915,26,0.091807262,1038,1304,1482,820,651.5,1371,1238,1129.214286,1444,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.693423,33.244184,0.0 -97.918869,33.237035,0.0 -97.918319,33.433889,0.0 -97.862783,33.433889,0.0 -97.818243,33.382751,0.0 -97.678576,33.274976,0.0 -97.693423,33.244184,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76432,Brown County;Comanche County,1172,311,375,343,264,335,326,59,30,25,43,43,40,940,930,0,10,0,0,0,0,232,204,0,0,0,0,16,12,450,17,343,80,23.30%,20,5,0,25,6,0,17,4,11,12,0,0,3,5,9,13,6,24.00%,ZCTA5 76432,0,0,3,38,3,41,0.073170732,7.30%,ZCTA5 76432,76432,*,4,,,0.153846154,0,326,0,44,326,0.135127677,5,0.124969391,1046,903.5,1298.5,1155,651.5,1802,1783,1234.214286,1626,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.668342,31.700698,0.0 -98.756321,31.688601,0.0 -98.829454,31.740289,0.0 -98.937229,31.845864,0.0 -98.788214,31.878306,0.0 -98.668342,31.700698,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76433,Erath County;Hood County;Somervell County,1808,302,572,575,506,521,495,80,130,142,87,117,111,1611,1421,0,184,0,0,0,6,197,87,0,0,0,0,110,0,633,34,575,0,0.00%,53,61,28,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,ZCTA5 76433,0,0,0,190,0,190,0,0.00%,ZCTA5 76433,76433,0,0,,,0,0,495,0,7,495,0.014136405,4,0.035941537,83,119,425.5,226.5,651.5,225,466,313.7857143,139,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.475338,32.388036,0.0 -98.475338,32.512856,0.0 -98.400555,32.512856,0.0 -98.265287,32.512856,0.0 -98.185556,32.512307,0.0 -98.033792,32.432575,0.0 -97.898524,32.257167,0.0 -97.91722,32.179635,0.0 -97.951312,32.246169,0.0 -98.475338,32.388036,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76435,Eastland County,569,128,148,148,109,138,134,36,49,34,11,36,33,412,412,0,0,0,0,0,0,157,157,0,0,0,0,0,0,225,3,148,4,2.70%,19,8,7,34,2,1,1,0,0,0,0,0,0,0,0,0,3,9.00%,ZCTA5 76435,0,0,0,17,0,17,0,0.00%,ZCTA5 76435,76435,0,0,,,0,0,134,0,5,134,0.037261781,3,0.090117038,210,436.5,425.5,226.5,651.5,660,1299,558.4285714,338,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.775017,32.319852,0.0 -98.854748,32.206029,0.0 -98.913034,32.278612,0.0 -98.886091,32.314903,0.0 -98.775017,32.319852,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76436,Comanche County;Hamilton County,102,38,16,29,14,27,25,10,8,7,5,8,8,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,29,14,48.30%,0,7,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0.00%,ZCTA5 76436,0,0,0,0,0,0,0,0,ZCTA5 76436,76436,0,0,,,0,0,25,0,3,25,0.120888591,1,0.131508291,1692,119,0,226.5,651.5,1719.5,1650.5,1009.833333,1198,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.115173,31.824419,0.0 -98.162462,31.850263,0.0 -98.208651,31.917347,0.0 -98.082731,31.971784,0.0 -98.115173,31.824419,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76437,Callahan County;Eastland County;Stephens County,5736,1245,1121,1207,1367,1261,1240,331,318,371,401,365,357,5365,5114,123,12,12,0,7,97,371,264,46,0,0,0,61,0,2020,71,1214,176,14.50%,304,55,12,371,86,0,13,0,0,0,72,0,5,0,0,0,158,43.00%,ZCTA5 76437,0,0,102,215,102,317,0.321766562,32.20%,ZCTA5 76437,76437,*,2,,,0.076923077,1,1240,0.000806382,76,1240,0.061285009,33,0.092399018,657,1423,1576,711,1778.5,1335,1307,1255.357143,1654,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.913034,32.278612,0.0 -99.117586,32.250568,0.0 -99.114287,32.515056,0.0 -99.096141,32.514506,0.0 -98.93283,32.515056,0.0 -98.886091,32.314903,0.0 -98.913034,32.278612,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76442,Comanche County;Mills County,7898,1829,1703,1913,1936,1872,1851,531,568,618,644,603,593,5778,5600,27,8,69,0,0,74,2120,1730,7,0,0,0,291,92,2914,86,1913,894,46.70%,326,245,47,618,165,8,144,46,26,38,145,12,113,106,91,0,330,53.00%,ZCTA5 76442,0,0,20,284,20,304,0.065789474,6.60%,ZCTA5 76442,76442,12,5,,,0.192307692,0,1851,0,104,1851,0.056200426,50,0.084348708,1670,1591,1257.5,1496,651.5,1148,1224,1291.142857,1697,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.521527,31.719944,0.0 -98.544621,31.717194,0.0 -98.668342,31.700698,0.0 -98.788214,31.878306,0.0 -98.80471,31.902501,0.0 -98.737076,31.94814,0.0 -98.833853,31.944841,0.0 -98.924582,32.077909,0.0 -98.88719,32.096055,0.0 -98.479187,31.976733,0.0 -98.521527,31.719944,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76443,Brown County;Callahan County;Coleman County,1813,402,434,444,442,435,431,100,221,218,163,190,178,1668,1592,0,2,13,0,0,61,145,135,0,0,0,10,0,0,676,34,444,119,26.80%,130,58,30,218,24,0,29,5,0,0,41,0,14,6,0,0,65,30.00%,ZCTA5 76443,0,7,0,29,0,36,0,0.00%,ZCTA5 76443,76443,*,2,,,0.076923077,0,431,0,20,431,0.046352708,3,0.016821051,1191,1077,425.5,1029,651.5,937,295,800.8571429,779,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.118686,32.079559,0.0 -99.195667,32.079009,0.0 -99.423314,32.080109,0.0 -99.417815,32.206029,0.0 -99.387572,32.28741,0.0 -99.117586,32.250568,0.0 -99.118686,32.079559,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76444,Comanche County,3327,896,988,943,847,934,922,244,297,311,231,281,273,2599,2544,13,13,0,0,0,29,728,601,0,0,0,0,90,37,1286,66,943,225,23.90%,163,106,42,311,52,4,47,18,3,16,16,0,33,5,9,22,72,23.00%,ZCTA5 76444,0,0,0,86,0,86,0,0.00%,ZCTA5 76444,76444,*,5,,,0.192307692,0,922,0,58,922,0.062938509,1,0.003666914,1070,877,425.5,844,651.5,1311,209,769.7142857,722,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.55122,32.261566,0.0 -98.417052,32.069661,0.0 -98.479187,31.976733,0.0 -98.88719,32.096055,0.0 -98.832753,32.121899,0.0 -98.63425,32.218126,0.0 -98.55122,32.261566,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76445,Comanche County;Eastland County;Erath County,343,75,24,50,66,59,55,22,24,38,47,36,33,322,322,0,0,0,0,0,0,21,21,0,0,0,0,0,0,147,17,50,24,48.00%,4,34,0,38,0,0,12,0,0,0,12,0,0,0,0,0,12,32.00%,ZCTA5 76445,0,0,0,0,0,0,0,0,ZCTA5 76445,76445,0,0,,,0,0,55,0,0,55,0,0,0,1687,1135,0,226.5,651.5,72.5,103.5,646,466,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.63425,32.218126,0.0 -98.628751,32.315453,0.0 -98.475338,32.388036,0.0 -98.537473,32.268164,0.0 -98.55122,32.261566,0.0 -98.63425,32.218126,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76446,Comanche County;Erath County,8295,2492,1863,2017,1858,2132,2072,668,700,758,743,728,719,6079,5902,27,54,0,0,74,22,2216,2052,0,0,0,0,164,0,3245,297,2018,312,15.50%,446,227,85,758,52,0,37,80,29,0,13,7,35,0,15,44,72,9.00%,ZCTA5 76446,0,0,0,344,0,344,0,0.00%,ZCTA5 76446,76446,13,6,,,0.230769231,1,2072,0.000482522,149,2072,0.07189572,70,0.097316733,706,462,425.5,1483,1719,1497,1351,1091.928571,1375,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.204802,32.064712,0.0 -98.25374,31.978933,0.0 -98.417052,32.069661,0.0 -98.55122,32.261566,0.0 -98.537473,32.268164,0.0 -98.204802,32.064712,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76448,Eastland County,5330,1293,1385,1240,936,1262,1223,360,459,379,289,389,375,4608,4351,31,0,8,0,0,218,722,663,0,0,0,0,59,0,2134,69,1240,379,30.60%,96,153,130,379,10,76,91,26,0,117,10,0,0,13,18,18,96,25.00%,ZCTA5 76448,0,0,0,100,0,100,0,0.00%,ZCTA5 76448,76448,*,6,,,0.230769231,0,1223,0,84,1223,0.068671051,41,0.109262202,1318,944,425.5,709,651.5,1416,1479,991.8571429,1156,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.93283,32.515056,0.0 -98.788214,32.515056,0.0 -98.652946,32.324801,0.0 -98.775017,32.319852,0.0 -98.886091,32.314903,0.0 -98.93283,32.515056,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76449,Palo Pinto County,2351,480,501,517,458,495,490,112,142,106,115,123,120,2066,1981,0,38,1,0,0,46,285,229,0,12,0,0,35,9,1005,11,517,54,10.40%,34,41,31,106,4,0,4,28,0,0,4,0,7,7,0,0,8,8.00%,ZCTA5 76449,0,0,0,70,0,70,0,0.00%,ZCTA5 76449,76449,*,9,,,0.346153846,0,490,0,49,490,0.09994263,19,0.15893296,499,403,425.5,939,651.5,1672,1750,905.7142857,991,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.21195,32.823533,0.0 -98.412103,32.79384,0.0 -98.575964,32.87797,0.0 -98.575964,32.885118,0.0 -98.426399,33.007739,0.0 -98.246042,33.00554,0.0 -98.103076,32.92031,0.0 -98.21195,32.823533,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76450,Palo Pinto County;Stephens County;Young County,13652,3169,3184,3302,3279,3250,3237,874,1064,998,965,995,979,11472,11166,173,83,13,0,0,37,2180,1890,0,0,0,0,150,140,5361,202,3302,800,24.20%,550,386,62,998,219,0,182,38,22,0,145,0,148,10,36,0,364,36.00%,ZCTA5 76450,0,12,0,364,0,376,0,0.00%,ZCTA5 76450,76450,10,6,,,0.230769231,3,3237,0.00092683,168,3237,0.0519025,86,0.087826535,1087,1284,425.5,1151,1788,1088,1275,1156.928571,1497.5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.950975,32.957151,0.0 -98.951525,33.055578,0.0 -98.732677,33.080322,0.0 -98.650746,33.206242,0.0 -98.42255,33.221639,0.0 -98.426399,33.007739,0.0 -98.575964,32.885118,0.0 -98.950975,32.957151,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76452,Comanche County,76,31,29,31,38,33,32,9,11,11,11,11,11,0,0,0,0,0,0,0,0,76,76,0,0,0,0,0,0,11,0,31,14,45.20%,4,7,0,11,4,0,4,0,0,4,2,0,0,0,0,0,6,55.00%,ZCTA5 76452,0,0,0,5,0,5,0,0.00%,ZCTA5 76452,76452,0,0,,,0,0,32,0,0,32,0,0,0,1639.5,1606,425.5,226.5,651.5,72.5,103.5,675,528,
76453,Erath County;Palo Pinto County,1082,204,171,149,212,191,185,63,66,54,64,63,62,1055,1048,0,4,0,0,0,3,27,11,0,0,0,0,16,0,474,24,149,20,13.40%,25,16,13,54,6,0,3,0,0,0,6,0,0,3,2,0,12,22.00%,ZCTA5 76453,0,0,0,26,0,26,0,0.00%,ZCTA5 76453,76453,*,1,,,0.038461538,0,185,0,7,185,0.037742824,4,0.06449974,611,853,425.5,1316,651.5,995,1139,855.8571429,884,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.270236,32.644275,0.0 -98.265287,32.512856,0.0 -98.400555,32.512856,0.0 -98.415402,32.573892,0.0 -98.376361,32.738303,0.0 -98.270236,32.644275,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76454,Comanche County;Eastland County,1406,372,549,408,386,449,433,103,154,37,58,101,91,1094,1084,8,2,0,0,0,0,312,254,0,0,0,0,58,0,543,50,408,124,30.40%,20,7,10,37,7,0,0,0,3,20,8,0,39,15,0,32,15,41.00%,ZCTA5 76454,0,0,7,131,7,138,0.050724638,5.10%,ZCTA5 76454,76454,*,1,,,0.038461538,0,433,0,19,433,0.043897525,12,0.132457366,1313,1383,1176,1114,651.5,986.5,1839,1209,1582,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.775017,32.319852,0.0 -98.652946,32.324801,0.0 -98.628751,32.315453,0.0 -98.63425,32.218126,0.0 -98.832753,32.121899,0.0 -98.854748,32.206029,0.0 -98.775017,32.319852,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76455,Comanche County,995,265,288,201,273,266,259,72,79,49,56,67,65,638,637,1,0,0,0,0,0,357,297,0,0,0,0,60,0,364,13,202,61,30.20%,21,20,8,49,10,0,6,0,0,1,3,3,19,10,0,9,16,33.00%,ZCTA5 76455,0,2,0,22,0,24,0,0.00%,ZCTA5 76455,76455,*,1,,,0.038461538,0,259,0,12,259,0.046391425,5,0.077286894,1304,1172.5,425.5,1333,651.5,1265.5,1425,1082.428571,1356,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.479187,31.976733,0.0 -98.417052,32.069661,0.0 -98.25374,31.978933,0.0 -98.208651,31.917347,0.0 -98.162462,31.850263,0.0 -98.285083,31.775481,0.0 -98.46379,31.684202,0.0 -98.521527,31.719944,0.0 -98.479187,31.976733,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76457,Bosque County;Erath County;Hamilton County,4501,916,907,910,950,926,922,252,216,210,236,233,229,3737,3681,14,5,7,3,0,27,764,562,0,0,0,0,202,0,1550,27,910,94,10.30%,81,118,11,210,0,5,0,16,5,39,0,0,2,0,0,27,5,2.00%,ZCTA5 76457,0,0,0,190,0,190,0,0.00%,ZCTA5 76457,76457,*,6,,,0.230769231,1,922,0.001084901,41,922,0.044480956,4,0.017432197,493,257.5,425.5,786,1803,938,348,721.5714286,636,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.208651,31.917347,0.0 -98.25374,31.978933,0.0 -98.204802,32.064712,0.0 -97.951312,32.246169,0.0 -97.91722,32.179635,0.0 -97.864982,32.087257,0.0 -98.005199,32.017973,0.0 -97.87433,31.828818,0.0 -97.83309,31.768332,0.0 -98.009048,31.724893,0.0 -98.115173,31.824419,0.0 -98.082731,31.971784,0.0 -98.208651,31.917347,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76458,Jack County,5962,1302,1173,1297,1176,1255,1241,341,292,362,352,345,338,4901,4480,352,48,11,0,0,10,1061,1033,0,0,0,0,20,8,1850,113,1297,537,41.40%,139,120,103,362,17,68,52,56,0,0,96,8,144,44,0,52,189,52.00%,ZCTA5 76458,0,0,11,203,11,214,0.051401869,5.10%,ZCTA5 76458,76458,*,2,,,0.076923077,0,1241,0,115,1241,0.092696305,61,0.180312222,1571,1575,1181,685,651.5,1630,1732,1289.357143,1690,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.919419,33.1727,0.0 -98.236694,33.063826,0.0 -98.373612,33.295871,0.0 -98.420901,33.296421,0.0 -98.420901,33.395948,0.0 -98.42145,33.466881,0.0 -97.978805,33.466881,0.0 -97.918319,33.433889,0.0 -97.918869,33.237035,0.0 -97.919419,33.1727,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76459,Jack County,182,35,31,58,55,48,45,5,0,20,17,13,11,176,168,0,8,0,0,0,0,6,6,0,0,0,0,0,0,70,7,58,30,51.70%,16,0,4,20,4,0,4,4,0,0,7,4,3,4,0,0,15,75.00%,ZCTA5 76459,0,0,0,7,0,7,0,0.00%,ZCTA5 76459,76459,0,0,,,0,0,45,0,6,45,0.132053817,5,0.455499121,1726,1724.5,425.5,226.5,651.5,1719.5,1825.5,1185.571429,1547,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.42255,33.221639,0.0 -98.420901,33.296421,0.0 -98.373612,33.295871,0.0 -98.42255,33.221639,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76460,Young County,447,86,87,8,51,67,60,22,0,0,0,8,6,318,295,0,0,0,0,0,23,129,129,0,0,0,0,0,0,231,0,8,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZCTA5 76460,0,0,0,0,0,0,0,0,ZCTA5 76460,76460,0,0,,,0,0,60,0,2,60,0.033408486,2,0.330578512,83,0,0,226.5,651.5,1863.5,0,706.125,604,
76462,Erath County;Hood County;Palo Pinto County;Parker County,3221,686,865,933,863,863,842,180,211,291,249,245,235,3087,3053,0,13,0,0,0,21,134,111,0,0,0,0,23,0,1199,68,933,245,26.30%,161,68,62,291,24,6,62,52,0,9,3,7,10,55,0,17,40,14.00%,ZCTA5 76462,0,0,0,140,0,140,0,0.00%,ZCTA5 76462,76462,*,3,,,0.115384615,0,842,0,44,842,0.052254559,12,0.051031228,1166,577,425.5,856,651.5,1002,652,761.4285714,698,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.970007,32.507358,0.0 -98.033792,32.432575,0.0 -98.185556,32.512307,0.0 -98.066234,32.573342,0.0 -97.885327,32.615682,0.0 -97.849036,32.520005,0.0 -97.970007,32.507358,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76463,Erath County;Palo Pinto County,624,106,96,122,113,112,110,28,36,46,36,38,37,595,586,0,0,0,0,0,9,29,20,0,0,0,0,9,0,243,9,122,23,18.90%,20,17,9,46,10,0,0,0,0,0,0,0,8,0,0,5,10,22.00%,ZCTA5 76463,0,0,0,9,0,9,0,0.00%,ZCTA5 76463,76463,*,3,,,0.115384615,0,110,0,14,110,0.127504774,3,0.081370152,840,833,425.5,1528,651.5,1768,1026,1010.285714,1202,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-98.400555,32.512856,0.0 -98.475338,32.512856,0.0 -98.50778,32.513406,0.0 -98.415402,32.573892,0.0 -98.400555,32.512856,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
